message_id,subject_length,attachment_size,time_since_access,priority,sender
<1347657639.39983.1747174034885@lor1-app75632.prod.linkedin.com>,58,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<qTiL1n5wR56xmqOQMuGRpw@geopod-ismtpd-35>,42,0,1,0,Canva <marketing@engage.canva.com>
<xAnOLZDnRc2J2QcJ2b5Ftw@geopod-ismtpd-12>,5,0,1,0,apna <jobalerts@info.apnajobs.com>
<1glWMyeFk7sECUDzJzBE8w@notifications.google.com>,14,0,1,0,Google <no-reply@accounts.google.com>
<wb5T7lj0QUis2LYlVSfefw@geopod-ismtpd-11>,8,0,1,0,AICTE Career Portal - apna <jobalerts@apna-jobs.com>
<215885772.2146567.1747231876779@lva1-app96403.prod.linkedin.com>,41,0,1,0,LinkedIn <jobs-listings@linkedin.com>
<kPPfScgymYEHB-HbDu-35w@notifications.google.com>,14,0,1,0,Google <no-reply@accounts.google.com>
<372101459.1187294.1747232066153@lva1-app98621.prod.linkedin.com>,58,0,1,0,LinkedIn <updates-noreply@linkedin.com>
<67ded0ef.050a0220.369a75.23f9.GMR@mx.google.com>,38,1450,1,0,Mail Delivery Subsystem <mailer-daemon@googlemail.com>
<590679989.3300728.1747253228867@lor1-app140801.prod.linkedin.com>,28,0,1,0,Andriy Burkov via LinkedIn <newsletters-noreply@linkedin.com>
<2027661332.2813819.1747260392299@lor1-app94593.prod.linkedin.com>,54,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<NM6F6A711950A0EAFABadobein_mid_prod8@mail.adobe.com>,25,0,1,0,"""Adobe for Photographers"" <mail@mail.adobe.com>"
<CAG-3uVnnPxeexMgKxuGYoKa6qrdmfB1oYXDT7HGEtoVbK8Qs3Q@mail.gmail.com>,0,0,1,0,Mohamed Suhaill <suhaillm81@gmail.com>
<7DzRNwuaRUyATD7hLP-YHQ@geopod-ismtpd-9>,8,0,1,0,AICTE Career Portal - apna <jobalerts@apna-jobs.com>
<CAHT9RNZ0JkmOTP99Hpzy13bNX4os4tk0=G_juTs3MXi-+Aiy0A@mail.gmail.com>,12,0,1,0,Thiru Siva Mukilan <sivamukilanthiru@gmail.com>
<844498701.2172349.1747347183302@lor1-app90739.prod.linkedin.com>,56,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<1006344337.6611749.1747354008754@lor1-app91852.prod.linkedin.com>,54,0,1,0,Bill Gates via LinkedIn <newsletters-noreply@linkedin.com>
<sUOvtByrRJm4ct8dNGnjnA@geopod-ismtpd-3>,4,0,1,0,AICTE Career Portal - apna <jobalerts@apna-jobs.com>
<CAFi4wK_kvRp08bxKmaADXg7SeC_-dVE0Zy+2VFCJ9UEZ4XS8nw@mail.gmail.com>,60,0,1,0,NPTEL <onlinecourses@nptel.iitm.ac.in>
<AD.67.05076.B1747286@n5plimla01.ieil.net>,48,29242,1,0,Naukri Alerts <eventnc@naukri.com>
<1279311500.10784699.1747405073251@lva1-app54166.prod.linkedin.com>,65,0,1,0,LinkedIn <updates-noreply@linkedin.com>
<2102047776.9304705.1747426010666@lor1-app75597.prod.linkedin.com>,43,0,1,0,Free Online Courses via LinkedIn <newsletters-noreply@linkedin.com>
<223895577.11402340.1747498070331@lor1-app128735.prod.linkedin.com>,22,0,1,0,LinkedIn <messages-noreply@linkedin.com>
